Utterance,Lambda,QUD,Probability
blm,1,do_blm,0.43
blm,1,which_lm,0.57
blm,2,do_blm,0.45
blm,2,which_lm,0.55
blm,5,do_blm,0.49
blm,5,which_lm,0.51
blm,10,do_blm,0.5
blm,10,which_lm,0.5
