Utterance,Lambda,QUD,Probability
alm,1,which_lm,0.38
alm,1,do_blm,0.62
alm,2,which_lm,0.43
alm,2,do_blm,0.57
alm,5,which_lm,0.49
alm,5,do_blm,0.51
alm,10,which_lm,0.5
alm,10,do_blm,0.5
